 Total battles: 111042
 Avg. weight/team: 0.62
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 646  | Espurr             |  0.00007% | 3      |  0.001% | 1      |  0.001% | 
 | 647  | Type: Null         |  0.00006% | 4      |  0.002% | 4      |  0.002% | 
 | 648  | Weedle             |  0.00006% | 3      |  0.001% | 2      |  0.001% | 
 | 649  | Timburr            |  0.00004% | 5      |  0.002% | 1      |  0.001% | 
 | 650  | Duskull            |  0.00004% | 1      |  0.000% | 1      |  0.001% | 
 | 651  | Graveler-Alola     |  0.00003% | 2      |  0.001% | 2      |  0.001% | 
 | 652  | Graveler           |  0.00003% | 5      |  0.002% | 5      |  0.003% | 
 | 653  | Farfetch'd         |  0.00002% | 20     |  0.009% | 15     |  0.009% | 
 | 654  | Lumineon           |  0.00002% | 6      |  0.003% | 4      |  0.002% | 
 | 655  | Morelull           |  0.00002% | 2      |  0.001% | 1      |  0.001% | 
 | 656  | Phantump           |  0.00002% | 1      |  0.000% | 1      |  0.001% | 
 | 657  | Pumpkaboo-Super    |  0.00002% | 1      |  0.000% | 1      |  0.001% | 
 | 658  | Seedot             |  0.00002% | 2      |  0.001% | 2      |  0.001% | 
 | 659  | Staryu             |  0.00002% | 6      |  0.003% | 6      |  0.003% | 
 | 660  | Shelgon            |  0.00002% | 2      |  0.001% | 2      |  0.001% | 
 | 661  | Pumpkaboo-Small    |  0.00001% | 2      |  0.001% | 2      |  0.001% | 
 | 662  | Torracat           |  0.00001% | 1      |  0.000% | 1      |  0.001% | 
 | 663  | Bunnelby           |  0.00001% | 5      |  0.002% | 2      |  0.001% | 
 | 664  | Charmeleon         |  0.00001% | 1      |  0.000% | 1      |  0.001% | 
 | 665  | Pansage            |  0.00001% | 1      |  0.000% | 0      |  0.000% | 
 | 666  | Charjabug          |  0.00001% | 5      |  0.002% | 5      |  0.003% | 
 | 667  | Salandit           |  0.00001% | 1      |  0.000% | 1      |  0.001% | 
 | 668  | Goomy              |  0.00001% | 1      |  0.000% | 1      |  0.001% | 
 | 669  | Unown              |  0.00001% | 11     |  0.005% | 9      |  0.005% | 
 | 670  | Fletchling         |  0.00001% | 1      |  0.000% | 1      |  0.001% | 
 | 671  | Vigoroth           |  0.00001% | 18     |  0.008% | 8      |  0.005% | 
 | 672  | Joltik             |  0.00001% | 1      |  0.000% | 1      |  0.001% | 
 | 673  | Stufful            |  0.00001% | 1      |  0.000% | 1      |  0.001% | 
 | 674  | Pidgeotto          |  0.00001% | 20     |  0.009% | 15     |  0.009% | 
 | 675  | Phanpy             |  0.00001% | 1      |  0.000% | 1      |  0.001% | 
 | 676  | Fletchinder        |  0.00001% | 1      |  0.000% | 1      |  0.001% | 
 | 677  | Numel              |  0.00001% | 2      |  0.001% | 1      |  0.001% | 
 | 678  | Voltorb            |  0.00001% | 1      |  0.000% | 1      |  0.001% | 
 | 679  | Skitty             |  0.00001% | 1      |  0.000% | 1      |  0.001% | 
 | 680  | Klang              |  0.00001% | 1      |  0.000% | 1      |  0.001% | 
 | 681  | Meowth             |  0.00001% | 14     |  0.006% | 7      |  0.004% | 
 | 682  | Ducklett           |  0.00000% | 4      |  0.002% | 3      |  0.002% | 
 | 683  | Tirtouga           |  0.00000% | 1      |  0.000% | 1      |  0.001% | 
 | 684  | Lotad              |  0.00000% | 1      |  0.000% | 1      |  0.001% | 
 | 685  | Grumpig            |  0.00000% | 19     |  0.009% | 15     |  0.009% | 
 | 686  | Kirlia             |  0.00000% | 1      |  0.000% | 1      |  0.001% | 
 | 687  | Wormadam-Trash     |  0.00000% | 10     |  0.005% | 10     |  0.006% | 
 | 688  | Surskit            |  0.00000% | 1      |  0.000% | 1      |  0.001% | 
 | 689  | Gumshoos-Totem     |  0.00000% | 5      |  0.002% | 4      |  0.002% | 
 | 690  | Goldeen            |  0.00000% | 3      |  0.001% | 3      |  0.002% | 
 | 691  | Swirlix            |  0.00000% | 6      |  0.003% | 6      |  0.003% | 
 | 692  | Mienfoo            |  0.00000% | 4      |  0.002% | 3      |  0.002% | 
 | 693  | Mudbray            |  0.00000% | 4      |  0.002% | 3      |  0.002% | 
 | 694  | Inkay              |  0.00000% | 6      |  0.003% | 4      |  0.002% | 
 | 695  | Pidove             |  0.00000% | 3      |  0.001% | 3      |  0.002% | 
 | 696  | Darumaka           |  0.00000% | 3      |  0.001% | 3      |  0.002% | 
 | 697  | Togedemaru-Totem   |  0.00000% | 8      |  0.004% | 7      |  0.004% | 
 | 698  | Araquanid-Totem    |  0.00000% | 12     |  0.005% | 10     |  0.006% | 
 | 699  | Scraggy            |  0.00000% | 1      |  0.000% | 1      |  0.001% | 
 | 700  | Yamask             |  0.00000% | 32     |  0.014% | 32     |  0.018% | 
 | 701  | Feebas             |  0.00000% | 5      |  0.002% | 5      |  0.003% | 
 | 702  | Snivy              |  0.00000% | 2      |  0.001% | 2      |  0.001% | 
 | 703  | Hoothoot           |  0.00000% | 1      |  0.000% | 1      |  0.001% | 
 | 704  | Chimchar           |  0.00000% | 1      |  0.000% | 0      |  0.000% | 
 | 705  | Poliwag            |  0.00000% | 1      |  0.000% | 1      |  0.001% | 
 | 706  | Krokorok           |  0.00000% | 3      |  0.001% | 2      |  0.001% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
